Date,Close/Last,Volume,Open,High,Low
11/17/2025,371.65,13295250,374.035,375.4553,368.52
11/14/2025,375.96,15198030,372.87,378.20,370.89
11/13/2025,382.87,15867870,387.29,388.18,381.21
11/12/2025,385.99,16203720,380.07,387.46,379.44
11/11/2025,379.87,10753180,379.98,380.40,376.87
11/10/2025,378.38,13456210,375.93,378.66,374.7814
11/07/2025,368.31,11060360,367.94,370.42,366.42
11/06/2025,366.07,6891096,367.16,368.18,364.70
11/05/2025,366.51,8357300,366.39,367.10,364.65
11/04/2025,362.32,11540060,363.48,365.74,361.39
11/03/2025,368.78,7254265,368.91,370.84,367.54
10/31/2025,368.12,11077910,370.47,370.6625,365.50
10/30/2025,370.13,14812750,365.09,370.36,364.50
10/29/2025,363.00,18891850,369.65,370.08,361.3601
10/28/2025,364.38,19257590,361.81,365.30,360.12
10/27/2025,367.01,23657600,371.13,371.59,365.34
10/24/2025,377.52,13263800,378.51,380.77,376.81
10/23/2025,378.79,13695500,381.46,382.25,378.65
10/22/2025,377.28,30524130,372.75,378.47,368.93
10/21/2025,377.24,54101420,386.54,388.89,375.65
10/20/2025,403.15,34523020,397.45,403.30,394.20
10/17/2025,388.99,62024970,397.14,397.28,385.22
10/16/2025,396.45,33621440,391.15,396.87,390.40
10/15/2025,387.39,20598320,385.93,387.755,384.59
10/14/2025,380.79,18409630,378.21,382.38,377.90
10/13/2025,378.09,18514420,376.50,378.86,375.5797
10/10/2025,369.12,24192780,367.54,370.31,365.44
10/09/2025,365.43,33674820,373.135,373.22,362.83
10/08/2025,372.30,28052280,371.65,373.57,370.50
10/07/2025,366.26,16836770,366.508,367.27,364.55
10/06/2025,364.38,17093660,362.16,365.30,361.37
10/03/2025,357.64,14463960,357.12,358.14,355.80
10/02/2025,354.79,16162050,358.26,358.67,351.40
10/01/2025,356.03,15573610,356.17,356.9722,354.79
09/30/2025,355.47,13312350,351.13,355.57,350.865
09/29/2025,352.46,15719620,351.79,352.8305,351.28
09/26/2025,346.74,11698210,345.83,348.25,345.314
09/25/2025,344.75,12639580,344.39,345.83,342.47
09/24/2025,343.32,12709070,346.70,346.8299,342.14
09/23/2025,346.46,18383980,348.23,348.75,345.32
09/22/2025,345.05,12386420,342.75,345.07,341.84
09/19/2025,339.18,14982570,336.51,339.23,336.3119
09/18/2025,335.62,14913270,336.22,336.32,333.81
09/17/2025,336.97,16535310,338.53,341.24,335.52
09/16/2025,339.59,12161530,340.09,340.88,338.62
09/15/2025,338.91,10569880,336.31,339.28,336.23
09/12/2025,335.42,9619709,335.88,336.39,335.23
09/11/2025,334.76,9082647,333.37,335.1619,332.97
09/10/2025,335.26,11945670,335.73,336.50,326.19
09/09/2025,334.06,21641940,337.03,338.31,333.85
09/08/2025,334.82,18617330,333.66,335.67,333.23
09/05/2025,331.05,16065150,329.53,331.44,328.93
09/04/2025,326.69,11703130,327.03,327.56,325.35
09/03/2025,328.14,16062220,327.76,329.45,326.7301
09/02/2025,325.59,21247530,320.82,325.92,320.24
08/29/2025,318.07,15642640,314.72,318.09,314.64
08/28/2025,315.03,9610202,313.32,315.08,313.07
08/27/2025,312.71,4320071,311.39,312.91,310.77
08/26/2025,312.08,11698460,310.62,312.21,310.305
08/25/2025,309.83,4044429,309.67,310.84,309.67
08/22/2025,310.58,8526492,306.52,311.025,306.43
08/21/2025,307.29,4808975,307.86,308.15,307.0314
08/20/2025,308.36,6515411,307.54,308.47,307.40
08/19/2025,305.27,5029939,306.76,307.4788,305.19
08/18/2025,306.95,6150140,307.79,307.89,306.625
08/15/2025,307.43,5990110,307.34,308.00,306.87
08/14/2025,307.25,5817726,307.925,308.34,306.52
08/13/2025,309.21,4718586,309.10,310.39,308.45
08/12/2025,308.27,9701725,308.22,309.305,306.71
08/11/2025,308.55,10326700,308.62,309.66,307.63
08/08/2025,313.05,19886800,312.35,313.53,311.00
08/07/2025,313.12,10891460,311.72,313.135,310.70
08/06/2025,310.50,7418158,310.32,311.24,309.84
08/05/2025,311.16,6997693,310.37,312.24,310.22
08/04/2025,310.91,7639030,310.80,311.74,310.37
08/01/2025,309.11,12843360,308.61,309.55,307.45
07/31/2025,302.96,8980956,304.59,304.61,302.86
07/30/2025,300.96,13459600,304.42,304.65,300.955
07/29/2025,306.25,5741114,305.80,307.03,304.985
07/28/2025,305.41,9275440,306.44,306.58,304.05
07/25/2025,307.40,9376386,307.82,308.31,306.20
07/24/2025,310.27,7698763,309.29,310.99,309.06
07/23/2025,312.18,10547520,314.00,314.96,311.42
07/22/2025,316.10,13691850,314.48,316.24,313.62
07/21/2025,313.13,10995760,311.88,313.31,311.61
07/18/2025,308.39,5574281,309.24,309.37,308.32
07/17/2025,307.59,6642258,305.50,307.665,305.12
07/16/2025,308.26,17693100,307.11,311.09,305.73
07/15/2025,306.73,8149008,307.73,308.74,305.79
07/14/2025,308.01,5772879,309.07,309.38,307.73
07/11/2025,309.14,9187302,308.855,310.28,308.5153
07/10/2025,306.20,7059561,306.11,306.51,304.82
07/09/2025,305.52,10644080,303.58,305.54,303.23
07/08/2025,304.16,11840550,306.30,306.445,302.77
07/07/2025,307.37,7351641,305.07,307.705,304.53
07/03/2025,307.14,5275838,307.05,307.57,306.15
07/02/2025,309.25,8316377,308.035,309.395,306.96
07/01/2025,307.55,9335647,308.555,309.00,307.36
06/30/2025,304.83,8192086,302.385,304.92,301.95
06/27/2025,301.22,13301310,300.03,302.36,299.89
06/26/2025,306.78,6787517,305.77,307.28,304.855
06/25/2025,307.12,6733155,305.31,307.36,305.12
06/24/2025,306.19,12035180,305.07,306.34,303.54
06/23/2025,311.08,12687920,310.34,312.67,310.31
06/20/2025,310.13,8794711,309.33,310.89,309.25
06/18/2025,310.26,9370785,312.89,312.98,309.86
06/17/2025,311.94,8234115,312.66,313.00,310.12
06/16/2025,311.78,12848440,314.80,314.87,311.65
06/13/2025,316.29,16592950,317.26,317.60,315.0375
06/12/2025,312.20,11531410,311.74,313.10,311.15
06/11/2025,308.37,9248766,307.50,308.615,305.85
06/10/2025,306.71,7071702,308.31,308.60,305.87
06/09/2025,306.62,7159036,305.39,307.61,305.06
06/06/2025,305.18,7787508,309.09,309.20,305.10
06/05/2025,309.33,10856010,311.24,312.20,307.6501
06/04/2025,310.90,7462529,309.41,311.88,308.74
06/03/2025,308.91,9315081,309.56,309.56,307.15
06/02/2025,311.67,13593230,309.21,311.72,308.72
05/30/2025,303.60,9553260,303.64,304.02,301.50
05/29/2025,305.61,9502412,305.74,306.89,304.46
05/28/2025,303.81,8803333,304.64,304.99,303.06
05/27/2025,304.50,9578486,303.81,304.875,302.74
05/23/2025,309.75,13339470,308.86,310.25,307.47
05/22/2025,303.11,9704165,305.09,305.28,302.10
05/21/2025,305.82,12414520,304.55,306.46,303.67
05/20/2025,303.58,12850980,298.35,303.6825,298.30
05/19/2025,298.03,11656260,297.845,298.58,296.482
05/16/2025,294.24,14173040,292.62,294.575,291.78
05/15/2025,297.84,13497740,294.10,297.90,293.75
05/14/2025,293.16,14800600,293.67,294.80,291.96
05/13/2025,299.46,10233600,299.02,300.30,297.24
05/12/2025,298.19,14375880,298.33,299.47,296.82
05/09/2025,306.84,6913131,307.79,308.57,306.0101
05/08/2025,304.63,11927580,309.76,310.48,303.05
05/07/2025,310.75,7909976,312.10,313.26,310.08
05/06/2025,315.48,11445270,313.12,315.62,311.40
05/05/2025,306.88,8924009,305.92,307.65,304.675
05/02/2025,297.98,8678366,300.17,300.85,297.03
05/01/2025,297.46,14969060,297.41,297.94,295.32
04/30/2025,303.77,8331894,304.605,306.065,303.44
04/29/2025,306.06,6852106,305.81,306.95,304.00
04/28/2025,309.07,9375484,304.15,309.11,302.97
04/25/2025,304.73,10691590,301.78,305.37,301.01
04/24/2025,308.07,10844970,306.98,308.495,304.71
04/23/2025,303.65,25421460,304.18,304.74,300.59
04/22/2025,311.11,35242290,317.49,317.63,310.36
04/21/2025,315.59,20372260,315.015,316.41,313.945
04/17/2025,306.12,18287830,306.31,307.13,302.73
04/16/2025,307.47,20778080,304.65,308.0599,303.80
04/15/2025,297.78,7924134,296.93,298.02,296.09
04/14/2025,296.23,12427590,295.54,296.58,294.53
04/11/2025,297.93,21080130,297.96,299.275,296.81
04/10/2025,292.35,19837800,288.805,292.86,287.231
04/09/2025,285.38,25342180,282.22,285.87,281.04
04/08/2025,275.20,12639530,277.867,278.32,274.24
04/07/2025,273.71,19806990,278.855,280.14,272.58
04/04/2025,279.72,21517160,283.64,284.03,278.02
04/03/2025,286.42,20524390,282.78,289.09,282.45
04/02/2025,288.16,11074790,288.28,289.03,287.36
04/01/2025,287.57,15923550,288.54,289.13,285.91
03/31/2025,288.14,13925100,287.53,288.39,285.85
03/28/2025,284.06,9563660,283.82,284.64,282.86
03/27/2025,281.97,8476335,280.55,282.065,279.5868
03/26/2025,278.24,3741843,278.93,279.02,277.78
03/25/2025,278.47,5090179,278.78,279.96,278.27
03/24/2025,277.25,7870109,278.91,279.089,276.86
03/21/2025,278.49,9359340,279.46,279.46,276.59
03/20/2025,280.75,5863288,279.49,280.90,279.43
03/19/2025,281.11,8822197,279.85,281.479,279.06
03/18/2025,279.96,9596547,279.90,280.215,278.97
03/17/2025,276.73,8583359,275.54,276.79,275.39
03/14/2025,275.24,13364970,276.27,276.30,274.66
03/13/2025,275.13,13741460,271.57,275.345,271.55
03/12/2025,270.33,7236239,268.47,271.23,268.36
03/11/2025,269.16,8436562,268.47,269.73,268.4401
03/10/2025,266.04,7593890,267.62,268.44,265.64
03/07/2025,268.39,10431240,269.09,270.34,267.64
03/06/2025,268.25,6136447,268.25,269.51,268.16
03/05/2025,269.62,6990354,267.97,270.26,267.96
03/04/2025,269.06,8481343,269.01,269.40,267.52
03/03/2025,266.74,7725647,265.07,266.88,265.07
02/28/2025,263.27,11504490,262.555,263.40,261.25
02/27/2025,264.93,9374626,266.49,266.67,264.4475
02/26/2025,269.03,7276033,267.08,269.08,266.6612
02/25/2025,268.62,10079780,271.46,271.6796,266.45
02/24/2025,272.21,5374360,271.45,272.32,270.375
02/21/2025,270.74,8917431,270.795,271.51,269.51
02/20/2025,270.99,7356900,270.23,271.84,270.17
02/19/2025,270.85,9342452,270.68,271.33,269.24
02/18/2025,270.70,8185949,269.68,271.0099,269.60
02/14/2025,266.29,11546720,270.07,270.21,265.45
02/13/2025,270.31,8347547,268.40,270.39,268.22
02/12/2025,267.67,9328598,267.15,268.43,266.3451
02/11/2025,267.39,7169450,267.70,268.36,266.711
02/10/2025,268.37,13250310,268.00,268.66,267.24
02/07/2025,263.90,9154042,265.22,266.345,263.26
02/06/2025,263.43,8731433,263.66,263.72,261.49
02/05/2025,264.13,12681130,264.45,265.99,263.89
02/04/2025,262.50,9850412,261.83,262.54,261.35
02/03/2025,259.94,11521090,259.75,261.3897,259.5236
01/31/2025,258.56,8965576,259.08,259.99,257.86
01/30/2025,258.05,12981160,257.20,258.29,256.45
01/29/2025,254.20,5671753,254.55,254.82,253.30
01/28/2025,255.18,5332005,254.225,255.25,253.891
01/27/2025,252.99,5799780,253.86,254.26,251.92
01/24/2025,255.65,7341337,255.96,257.07,255.61
01/23/2025,254.07,6511526,253.19,254.54,252.82
01/22/2025,254.43,5213777,254.29,254.68,253.7801
01/21/2025,253.13,7668119,251.95,253.3598,251.83
01/17/2025,249.27,8312858,249.70,250.81,249.15
01/16/2025,250.60,9235998,250.56,251.39,250.27
01/15/2025,248.88,6344973,248.21,248.90,247.0102
01/14/2025,247.03,4914837,245.62,247.04,245.52
01/13/2025,245.74,8448595,246.34,246.79,245.151
01/10/2025,248.21,12380130,248.01,249.04,247.55
01/08/2025,245.86,6303334,245.72,246.45,244.51
01/07/2025,244.56,5090333,245.52,245.77,243.81
01/06/2025,243.19,3758903,242.33,243.79,242.05
01/03/2025,243.49,4875546,244.56,244.82,243.36
01/02/2025,245.42,6241899,244.22,245.53,244.08
12/31/2024,242.13,2522102,241.05,242.52,241.05
12/30/2024,240.63,3522539,241.08,241.08,239.58
12/27/2024,241.40,4728440,241.20,241.95,241.05
12/26/2024,243.07,4651778,242.39,243.56,242.195
12/24/2024,241.44,2421008,241.49,241.66,240.82
12/23/2024,240.96,5835498,241.60,241.67,240.65
12/20/2024,242.10,9527805,241.41,242.955,241.17
12/19/2024,239.60,8113568,239.67,240.05,238.73
12/18/2024,239.26,8015848,243.57,243.7095,238.82
12/17/2024,243.94,4421339,243.80,244.55,243.23
12/16/2024,244.88,3310036,245.41,245.54,244.29
12/13/2024,244.29,6602591,245.67,245.94,244.27
12/12/2024,247.28,10149590,247.81,248.24,246.87
12/11/2024,250.96,11033780,249.35,251.26,248.97
12/10/2024,248.59,4641963,247.86,248.86,247.83
12/09/2024,245.36,4711536,246.28,247.11,245.2595
12/06/2024,242.95,3540698,242.79,243.86,242.435
12/05/2024,242.86,4806206,244.16,244.38,242.15
12/04/2024,244.67,4608584,244.93,245.34,244.365
12/03/2024,243.93,3557819,244.96,245.18,243.30
12/02/2024,243.44,4765001,244.46,244.5805,243.14
11/29/2024,245.59,2708494,245.25,245.81,244.73
11/27/2024,243.49,6930587,244.85,245.1835,243.20
11/26/2024,242.95,4945897,242.71,243.09,241.58
11/25/2024,242.48,10733110,244.27,244.3999,241.48
11/22/2024,249.84,7502963,248.20,250.39,247.86
11/21/2024,246.66,7646429,246.23,246.81,245.69
11/20/2024,244.62,6630737,243.74,245.21,243.51
11/19/2024,243.25,6579103,242.75,243.31,242.03
11/18/2024,241.09,6512986,240.46,241.495,240.45
11/15/2024,236.59,7299482,237.57,237.88,236.33
11/14/2024,237.01,8262426,236.57,237.9886,236.1326
11/13/2024,237.63,8431694,241.31,241.47,237.59
11/12/2024,240.05,10145510,241.29,241.66,239.39
11/11/2024,242.14,11653850,242.73,242.73,241.06
11/08/2024,247.96,6267916,249.07,249.35,247.78
11/07/2024,249.65,8821445,248.29,250.24,248.12
11/06/2024,245.70,14600220,245.635,247.35,244.9506
11/05/2024,253.40,6029884,253.78,253.9893,252.41
11/04/2024,252.83,4581435,253.32,253.58,252.27
11/01/2024,252.47,6473012,254.33,254.86,252.435
10/31/2024,253.51,9930827,255.52,255.60,252.20
10/30/2024,257.50,6386196,256.76,257.71,255.9101
10/29/2024,256.09,8875470,254.49,256.29,254.23
10/28/2024,253.33,4029110,253.01,253.63,252.95
10/25/2024,253.32,4424475,252.00,253.5499,251.77
10/24/2024,252.80,5962188,253.27,253.32,251.40
10/23/2024,250.87,8080958,253.08,253.18,250.20
10/22/2024,253.93,5756321,253.06,253.94,252.52
10/21/2024,251.22,9258590,252.74,253.14,250.73
10/18/2024,251.27,7833614,250.00,251.37,249.90
10/17/2024,248.63,5176170,247.75,249.06,247.62
10/16/2024,247.15,5431939,247.62,248.09,246.36
10/15/2024,245.92,5640831,244.99,246.55,244.53
10/14/2024,245.07,3922892,245.16,245.86,244.26
10/11/2024,245.47,5789546,244.50,245.92,244.47
10/10/2024,242.82,4792690,241.77,243.02,241.5101
10/09/2024,241.05,4120486,241.16,241.84,240.64
10/08/2024,242.37,7669807,243.79,244.04,240.63
10/07/2024,244.17,3849026,244.58,244.82,243.81
10/04/2024,245.00,5951628,245.00,246.69,244.045
10/03/2024,245.49,5674503,244.72,245.91,243.69
10/02/2024,245.66,6798783,245.61,246.07,243.99
10/01/2024,245.61,10605490,245.20,246.98,245.06
09/30/2024,243.06,6919352,243.97,244.08,242.50
09/27/2024,245.02,8329633,246.31,246.75,244.19
09/26/2024,246.98,7041063,246.44,247.37,245.19
09/25/2024,245.73,7393448,246.19,246.47,244.79
09/24/2024,246.07,8386348,243.39,246.19,243.15
09/23/2024,242.68,5426166,242.97,243.46,242.585
09/20/2024,242.21,7737416,241.11,242.625,240.47
09/19/2024,239.17,6108226,238.24,239.515,237.39
09/18/2024,235.51,11081110,238.19,240.2896,235.30
09/17/2024,237.34,5257119,238.08,238.60,236.61
09/16/2024,238.66,4713541,238.73,239.278,238.05
09/13/2024,238.68,7455078,238.13,238.98,237.7575
09/12/2024,236.33,9944986,234.63,236.45,234.42
09/11/2024,232.25,4637312,231.72,232.87,231.09
09/10/2024,232.62,4378349,232.39,232.74,231.12
09/09/2024,231.60,3548806,231.26,231.62,230.39
09/06/2024,230.63,6315824,231.83,232.76,229.62
09/05/2024,232.35,4838112,232.72,232.89,231.33
09/04/2024,230.43,4695980,229.79,231.06,229.375
09/03/2024,230.29,6417918,230.38,230.54,228.52
08/30/2024,231.29,5742963,232.53,232.86,230.5501
08/29/2024,232.95,5524161,231.95,233.61,231.92
08/28/2024,231.75,4961482,232.00,232.02,230.73
08/27/2024,233.39,4435606,231.69,233.47,231.5701
08/26/2024,232.76,3151384,233.45,233.50,232.06
08/23/2024,232.02,5418171,231.04,232.73,230.5199
08/22/2024,229.37,5765369,230.35,230.38,228.26
08/21/2024,232.15,5337388,231.69,232.87,230.48
08/20/2024,232.46,9073611,233.71,234.01,231.13
08/19/2024,231.61,5164817,230.15,231.78,229.74
08/16/2024,231.99,11924540,229.99,232.02,229.005
08/15/2024,226.91,5273310,226.51,227.50,225.12
08/14/2024,226.20,5462495,226.55,227.48,225.35
08/13/2024,228.06,6740238,228.07,228.87,227.59
08/12/2024,228.41,5561259,226.14,228.535,225.965
08/09/2024,224.56,4441017,224.82,225.28,223.82
08/08/2024,224.01,6327054,222.73,224.25,222.515
08/07/2024,220.55,5287817,221.94,222.31,220.35
08/06/2024,220.70,14362270,221.50,222.14,220.11
08/05/2024,222.48,8939011,220.56,223.10,220.241
08/02/2024,225.34,11109390,227.95,228.76,222.865
08/01/2024,225.77,7217224,226.74,227.57,225.05
07/31/2024,226.55,7316552,223.73,226.60,223.64
07/30/2024,222.52,4939531,221.41,222.92,220.355
07/29/2024,220.32,4665057,221.26,221.55,219.045
07/26/2024,220.63,6328784,219.96,221.04,219.70
07/25/2024,218.33,9777054,219.02,219.2607,217.52
07/24/2024,221.80,6838783,223.47,224.88,221.74
07/23/2024,222.58,4435700,222.34,222.75,221.86
07/22/2024,221.80,5334060,221.58,221.92,220.40
07/19/2024,221.73,8665956,221.52,222.68,221.41
07/18/2024,225.78,5485459,227.71,228.32,225.57
07/17/2024,227.23,8620511,228.79,229.65,226.67
07/16/2024,228.29,11070660,225.45,228.29,225.30
07/15/2024,223.83,5719339,223.39,225.59,223.02
07/12/2024,223.11,5179297,222.03,223.62,221.86
07/11/2024,223.25,9323981,222.65,224.1489,221.48
07/10/2024,219.36,5556185,220.14,220.71,219.16
07/09/2024,218.56,3904495,218.57,219.29,217.265
07/08/2024,218.19,5790811,219.64,220.04,217.41
07/05/2024,220.93,5950550,219.58,221.28,219.58
07/03/2024,217.99,5055313,217.34,218.7397,217.33
07/02/2024,215.56,4921672,215.33,216.08,214.6204
07/01/2024,215.57,3797921,215.25,216.00,214.485
06/28/2024,215.01,3955080,215.64,215.8148,214.82
06/27/2024,214.99,4977837,214.71,215.50,214.45
06/26/2024,212.58,4690348,212.39,213.11,212.1204
06/25/2024,214.56,3847694,214.96,215.31,214.12
06/24/2024,215.63,4626923,215.55,215.94,215.20
06/21/2024,214.78,8935399,217.83,217.90,214.255
06/20/2024,218.16,7290516,216.32,218.7413,216.15
06/18/2024,215.47,4921415,214.38,215.83,214.04
06/17/2024,214.61,3877671,214.90,215.24,213.60
06/14/2024,215.73,7076496,215.34,216.04,214.98
06/13/2024,212.97,5861099,214.44,214.96,212.26
06/12/2024,214.72,5911883,216.47,216.55,214.20
06/11/2024,214.15,4004085,213.95,214.38,213.24
06/10/2024,213.54,4219641,213.13,214.02,212.76
06/07/2024,211.60,12195070,215.07,215.19,211.54
06/06/2024,219.43,5283914,218.36,219.97,218.10
06/05/2024,217.82,5479226,216.69,218.0795,215.93
06/04/2024,215.27,5509361,216.24,216.24,214.20
06/03/2024,217.22,6172606,215.92,217.82,215.54
05/31/2024,215.30,5617183,217.77,217.96,214.65
05/30/2024,216.57,3071290,216.69,217.51,216.41
05/29/2024,216.16,4184972,216.92,217.16,216.12
05/28/2024,218.19,3809677,218.43,218.59,217.21
05/24/2024,215.92,4212379,216.96,217.21,215.74
05/23/2024,215.72,9537911,218.78,219.23,215.66
05/22/2024,220.11,8903115,223.09,223.24,219.7407
05/21/2024,224.23,4002615,224.77,225.21,223.70
05/20/2024,224.56,5990860,223.79,225.66,223.02
05/17/2024,223.66,10481940,222.18,223.8501,221.67
05/16/2024,220.03,4301652,220.14,220.585,219.41
05/15/2024,220.89,9297715,219.06,221.19,217.65
05/14/2024,218.09,4662679,217.31,218.3795,216.98
05/13/2024,216.26,4896343,217.06,217.31,215.80
05/10/2024,218.71,8700917,219.22,219.60,218.08
05/09/2024,216.95,7732469,214.48,216.95,214.44
05/08/2024,213.58,4462736,213.62,214.80,213.50
05/07/2024,214.21,5660735,214.52,214.93,213.88
05/06/2024,215.20,6840477,215.14,215.91,214.47
05/03/2024,212.96,8679910,212.89,213.225,210.71
05/02/2024,213.13,6286967,211.90,213.705,211.49
05/01/2024,213.79,10373880,212.96,215.50,212.41
04/30/2024,211.87,11248620,213.38,214.1271,211.80
04/29/2024,216.18,6409870,216.02,217.215,215.25
04/26/2024,216.62,6268504,216.77,217.0676,215.53
04/25/2024,215.92,6606512,214.47,217.05,214.3357
04/24/2024,214.64,5741072,214.76,216.35,214.36
04/23/2024,215.04,10730330,213.96,215.86,213.87
04/22/2024,215.57,13404250,216.35,216.9578,215.14
04/19/2024,221.03,8688967,220.49,222.36,220.08
04/18/2024,220.34,6496885,221.31,221.4599,219.312
04/17/2024,219.59,11521050,221.05,221.76,218.52
04/16/2024,221.22,10746120,220.18,221.99,218.78
04/15/2024,220.95,13238950,217.94,221.03,215.16
04/12/2024,216.89,30898780,221.87,225.09,216.02
04/11/2024,219.80,11415220,216.85,219.84,215.89
04/10/2024,215.61,13317490,215.37,217.78,214.68
04/09/2024,217.67,13079310,217.81,218.86,216.45
04/08/2024,216.48,10331410,215.98,216.81,214.61
04/05/2024,215.14,13382720,212.49,215.74,212.22
04/04/2024,211.52,12307270,212.00,213.45,211.02
04/03/2024,212.74,11416230,210.57,212.83,210.30
04/02/2024,210.89,13421070,209.07,211.03,208.36
04/01/2024,207.82,13677110,208.68,208.73,206.29
03/28/2024,205.72,9194473,204.54,206.05,203.87
03/27/2024,203.10,6040980,202.32,203.22,202.32
03/26/2024,201.64,5752677,202.65,202.76,201.07
03/25/2024,200.99,4034750,201.19,201.95,200.965
03/22/2024,200.35,6918508,201.32,201.86,199.715
03/21/2024,201.97,7396540,203.88,203.92,200.60
03/20/2024,202.18,9593754,199.16,202.66,199.12
03/19/2024,199.80,4657527,199.62,199.81,198.935
03/18/2024,200.03,7206823,199.66,200.145,199.51
03/15/2024,199.71,4556710,199.94,200.634,199.57
03/14/2024,200.35,6865044,200.37,200.47,199.34
03/13/2024,201.19,5929990,200.44,201.86,200.35
03/12/2024,199.79,9436586,200.42,200.6277,199.16
03/11/2024,202.00,7329560,201.71,202.41,201.46
03/08/2024,201.63,13540110,200.89,203.30,200.4459
03/07/2024,199.94,8403737,199.54,200.11,198.91
03/06/2024,198.81,10459290,198.08,199.30,197.44
03/05/2024,197.19,9672210,197.44,198.14,196.65
03/04/2024,196.01,12216340,194.15,196.3299,193.88
03/01/2024,192.89,13411000,190.27,193.40,189.44
02/29/2024,189.31,6848639,189.64,189.918,189.23
02/28/2024,188.34,2824131,188.34,188.52,188.0301
02/27/2024,188.00,5165376,188.58,188.72,187.88
02/26/2024,188.20,4491937,187.79,188.36,187.53
02/23/2024,188.62,6827271,187.56,189.18,187.46
02/22/2024,187.56,4550823,187.56,187.64,187.05
02/21/2024,187.48,5789951,187.88,188.04,187.10
02/20/2024,187.47,5531152,187.96,188.03,187.40
02/16/2024,186.34,6518526,185.076,186.67,184.835
02/15/2024,185.66,6228859,185.60,186.02,185.095
02/14/2024,184.42,7031562,184.27,184.88,183.78
02/13/2024,184.53,9525794,185.35,185.38,184.33
02/12/2024,187.11,4706253,186.60,187.27,186.36
02/09/2024,187.60,4412654,187.56,187.77,187.14
02/08/2024,188.33,3873445,187.91,188.5298,187.8199
02/07/2024,188.50,6276879,188.45,189.39,188.28
02/06/2024,188.55,4866122,187.94,188.854,187.742
02/05/2024,187.57,5436062,186.875,187.82,186.70
02/02/2024,188.61,7337573,188.07,188.87,187.85
02/01/2024,190.41,10278130,189.71,191.36,188.99
01/31/2024,188.45,7886115,189.37,190.46,188.13
01/30/2024,188.59,4976467,189.70,189.83,187.975
01/29/2024,188.33,5629695,188.31,188.54,187.1899
01/26/2024,187.01,5064774,187.27,187.38,186.76
01/25/2024,187.14,4651026,187.34,187.64,186.46
01/24/2024,186.40,6085437,188.33,188.37,186.32
01/23/2024,187.95,5040771,187.45,188.15,187.28
01/22/2024,187.22,4397522,187.23,187.7601,186.85
01/19/2024,187.93,5719650,188.26,188.30,187.44
01/18/2024,187.37,4685239,186.36,187.40,186.30
01/17/2024,185.84,8643163,187.31,187.42,185.45
01/16/2024,187.91,6548068,189.15,189.26,187.54
